../../bgmaps/AR0301SR.map
(34,56) (28,33)
(59,54) (57,31)
(51,39) (54,47)
(65,33) (36,45)
(70,36) (51,47)
(30,76) (24,33)
(61,51) (45,21)
(29,62) (65,43)
(48,24) (87,17)
(71,31) (47,38)
(61,29) (40,43)
(70,32) (70,37)
(58,32) (83,23)
(53,52) (34,24)
(33,53) (78,22)
(55,46) (41,23)
(24,58) (47,55)
(35,56) (16,62)
(67,40) (54,37)
(26,57) (27,36)
(62,39) (24,66)
(45,55) (57,50)
(37,35) (71,35)
(19,65) (52,36)
(56,43) (59,37)
(31,53) (53,21)
(66,44) (70,40)
(52,55) (26,34)
(54,49) (68,45)
(67,37) (57,18)
(67,40) (65,41)
(26,66) (38,42)
(41,36) (18,55)
(61,46) (15,51)
(22,59) (50,37)
(14,52) (44,39)
(44,30) (63,51)
(40,40) (39,19)
(31,28) (60,46)
(38,19) (81,26)
(68,45) (29,62)
(68,40) (55,29)
(10,56) (39,51)
(32,76) (53,38)
(18,55) (49,39)
(38,58) (18,60)
(66,37) (31,63)
(16,45) (30,30)
(72,42) (53,34)
(33,48) (14,60)
(21,46) (41,69)
(15,51) (64,29)
(52,57) (45,45)
(54,37) (51,35)
(65,43) (41,18)
(19,53) (29,55)
(77,28) (56,24)
(77,31) (19,38)
(61,40) (44,24)
(44,39) (45,27)
(15,50) (42,52)
(68,41) (69,32)
(45,22) (54,28)
(16,59) (36,27)
(33,30) (56,20)
(27,73) (42,20)
(21,57) (38,23)
(52,48) (51,19)
(12,57) (12,51)
(58,49) (41,27)
(56,40) (64,29)
(17,41) (59,25)
(60,46) (21,56)
(12,50) (15,41)
(88,16) (65,39)
(33,34) (29,60)
(45,37) (13,53)
(14,54) (52,42)
(38,60) (55,27)
(84,21) (69,40)
(46,23) (49,29)
(18,65) (24,32)
(53,51) (34,63)
(41,44) (43,23)
(61,46) (45,33)
(15,60) (22,67)
(13,47) (31,73)
(50,53) (53,38)
(36,24) (60,50)
(36,32) (39,24)
(52,42) (39,21)
(55,55) (23,46)
(30,38) (60,54)
(61,36) (59,43)
(54,26) (33,47)
(65,37) (82,27)
(40,41) (35,38)
(31,26) (51,38)
(36,61) (35,28)
(55,51) (27,59)
(22,62) (56,27)
(24,45) (39,32)
(27,64) (30,77)
(15,52) (13,55)
(43,52) (84,18)
(81,25) (52,27)
(67,45) (32,73)
(50,26) (19,35)
(40,40) (31,42)
(27,33) (33,57)
(36,72) (62,24)
(28,58) (53,37)
(52,19) (32,76)
(14,49) (76,30)
(15,50) (46,55)
(58,38) (34,34)
(21,64) (89,16)
(44,22) (83,18)
(52,33) (26,65)
(37,59) (32,55)
(52,54) (88,15)
(44,31) (59,31)
(23,64) (47,37)
(35,35) (60,30)
(19,65) (58,39)
(32,76) (52,16)
(30,35) (77,27)
(56,35) (39,41)
(57,56) (86,13)
(66,33) (38,49)
(38,35) (33,63)
(38,20) (55,43)
(29,53) (39,44)
(62,24) (65,31)
(34,61) (86,22)
(85,21) (32,30)
(35,72) (41,41)
(53,16) (22,69)
(52,52) (28,55)
(36,32) (23,55)
(34,76) (41,44)
(17,44) (41,71)
(49,24) (17,45)
(41,52) (17,37)
(23,62) (19,59)
(35,37) (55,27)
(52,54) (24,59)
(53,42) (69,33)
(39,44) (15,52)
(65,43) (39,51)
(56,46) (30,36)
(57,24) (31,40)
(22,65) (20,54)
(33,40) (23,59)
(52,40) (22,55)
(33,33) (44,52)
(87,15) (18,59)
(29,56) (20,61)
(56,53) (43,25)
(84,18) (35,22)
(16,44) (50,38)
(35,61) (47,43)
(25,59) (33,78)
(57,56) (30,60)
(50,19) (67,46)
(21,59) (48,24)
(39,70) (84,23)
(27,29) (17,42)
(84,22) (32,27)
(54,43) (32,39)
(52,37) (83,20)
(89,16) (41,40)
(52,50) (24,34)
(66,42) (40,48)
(66,34) (37,30)
(44,22) (89,16)
(33,72) (81,22)
(51,28) (84,18)
(51,36) (52,36)
(56,30) (37,30)
(56,35) (55,27)
(39,20) (38,26)
(43,21) (41,29)
(27,29) (31,43)
(19,63) (61,27)
(12,51) (44,45)
(46,45) (19,55)
(46,52) (62,49)
(52,42) (60,54)
(49,50) (12,48)
(53,55) (54,18)
(12,53) (40,22)
(34,52) (72,40)
(23,46) (14,58)
(26,64) (67,47)
(16,42) (41,47)
(24,64) (57,52)
(43,46) (81,19)
(59,55) (16,56)
(32,25) (30,61)
(44,43) (73,34)
(86,16) (65,39)
(15,42) (41,22)
(70,35) (73,32)
(34,72) (32,77)
(48,59) (32,44)
(50,55) (18,65)
(62,42) (37,51)
(49,42) (49,33)
(45,46) (38,26)
(19,66) (15,55)
(30,52) (52,16)
(61,48) (57,28)
(13,58) (50,60)
(38,24) (17,38)
(82,25) (54,58)
(17,54) (23,45)
(48,53) (30,54)
(28,60) (20,67)
(24,32) (35,69)
(44,26) (50,38)
(20,47) (75,31)
(12,53) (18,40)
(64,38) (46,36)
(40,30) (36,30)
(49,50) (41,44)
(38,25) (60,46)
(86,17) (26,30)
(41,51) (32,78)
(56,28) (32,63)
(30,56) (49,40)
(60,38) (83,22)
