(10,6) (35,32) problem_set2_map16.map
(33,12) (37,11) problem_set2_map16.map
(5,23) (31,25) problem_set2_map16.map
(3,16) (27,32) problem_set2_map16.map
(24,35) (15,32) problem_set2_map16.map
(6,12) (22,20) problem_set2_map16.map
(12,12) (11,26) problem_set2_map16.map
(25,31) (16,5) problem_set2_map16.map
(2,11) (10,15) problem_set2_map16.map
(12,15) (34,0) problem_set2_map16.map
(11,36) (18,35) problem_set2_map16.map
(12,11) (29,35) problem_set2_map16.map
(1,12) (33,12) problem_set2_map16.map
(26,27) (25,7) problem_set2_map16.map
(20,4) (0,1) problem_set2_map16.map
(12,21) (15,11) problem_set2_map16.map
(18,35) (32,35) problem_set2_map16.map
(0,24) (22,19) problem_set2_map16.map
(12,22) (12,1) problem_set2_map16.map
(12,14) (31,18) problem_set2_map16.map
(10,35) (34,26) problem_set2_map16.map
(9,1) (32,7) problem_set2_map16.map
(13,15) (0,33) problem_set2_map16.map
(37,14) (12,26) problem_set2_map16.map
(2,10) (17,30) problem_set2_map16.map
(14,27) (32,6) problem_set2_map16.map
(2,26) (27,0) problem_set2_map16.map
(37,2) (8,0) problem_set2_map16.map
(22,14) (14,32) problem_set2_map16.map
(35,7) (0,19) problem_set2_map16.map
(35,34) (4,31) problem_set2_map16.map
(16,31) (30,30) problem_set2_map16.map
(11,27) (29,16) problem_set2_map16.map
(16,11) (25,11) problem_set2_map16.map
(12,18) (6,26) problem_set2_map16.map
(18,31) (6,15) problem_set2_map16.map
(6,15) (31,32) problem_set2_map16.map
(26,23) (26,30) problem_set2_map16.map
(21,27) (7,0) problem_set2_map16.map
(30,17) (28,37) problem_set2_map16.map
(25,30) (34,6) problem_set2_map16.map
(21,6) (17,17) problem_set2_map16.map
(23,7) (11,11) problem_set2_map16.map
(29,17) (32,22) problem_set2_map16.map
(14,5) (1,27) problem_set2_map16.map
(5,3) (31,0) problem_set2_map16.map
(11,19) (0,36) problem_set2_map16.map
(24,31) (33,7) problem_set2_map16.map
(22,13) (21,4) problem_set2_map16.map
(25,20) (30,32) problem_set2_map16.map
(20,30) (2,10) problem_set2_map17.map
(32,16) (35,20) problem_set2_map17.map
(15,25) (24,32) problem_set2_map17.map
(21,6) (34,28) problem_set2_map17.map
(26,7) (16,5) problem_set2_map17.map
(20,11) (20,20) problem_set2_map17.map
(0,21) (28,16) problem_set2_map17.map
(25,11) (29,24) problem_set2_map17.map
(31,1) (27,7) problem_set2_map17.map
(19,15) (5,10) problem_set2_map17.map
(5,33) (21,30) problem_set2_map17.map
(7,30) (30,21) problem_set2_map17.map
(8,25) (19,6) problem_set2_map17.map
(24,14) (2,33) problem_set2_map17.map
(6,20) (3,5) problem_set2_map17.map
(11,9) (5,13) problem_set2_map17.map
(31,15) (2,27) problem_set2_map17.map
(10,35) (0,5) problem_set2_map17.map
(29,21) (27,5) problem_set2_map17.map
(31,33) (10,32) problem_set2_map17.map
(14,11) (29,8) problem_set2_map17.map
(1,16) (5,34) problem_set2_map17.map
(34,25) (25,29) problem_set2_map17.map
(22,21) (8,30) problem_set2_map17.map
(33,0) (32,0) problem_set2_map17.map
(11,2) (6,34) problem_set2_map17.map
(1,32) (29,33) problem_set2_map17.map
(10,20) (22,20) problem_set2_map17.map
(24,2) (0,35) problem_set2_map17.map
(22,16) (9,24) problem_set2_map17.map
(25,2) (0,26) problem_set2_map17.map
(6,1) (3,20) problem_set2_map17.map
(10,17) (22,0) problem_set2_map17.map
(3,25) (24,2) problem_set2_map17.map
(19,6) (23,21) problem_set2_map17.map
(21,35) (29,19) problem_set2_map17.map
(30,32) (28,15) problem_set2_map17.map
(26,16) (19,21) problem_set2_map17.map
(6,7) (1,2) problem_set2_map17.map
(26,15) (5,9) problem_set2_map17.map
(33,2) (24,19) problem_set2_map17.map
(20,6) (30,35) problem_set2_map17.map
(5,16) (2,28) problem_set2_map17.map
(15,20) (11,20) problem_set2_map17.map
(24,25) (26,0) problem_set2_map17.map
(15,7) (35,30) problem_set2_map17.map
(33,28) (2,10) problem_set2_map17.map
(1,14) (5,8) problem_set2_map17.map
(25,10) (5,2) problem_set2_map17.map
(5,12) (4,19) problem_set2_map17.map
