(16,33) (21,12) problem_set5_map30.map
(48,47) (12,43) problem_set5_map30.map
(51,22) (33,72) problem_set5_map30.map
(37,48) (3,45) problem_set5_map30.map
(1,55) (21,7) problem_set5_map30.map
(76,18) (63,71) problem_set5_map30.map
(71,45) (70,48) problem_set5_map30.map
(76,2) (8,59) problem_set5_map30.map
(53,77) (52,22) problem_set5_map30.map
(73,33) (66,6) problem_set5_map30.map
(76,0) (31,38) problem_set5_map30.map
(51,0) (48,37) problem_set5_map30.map
(7,67) (48,12) problem_set5_map30.map
(54,77) (23,72) problem_set5_map30.map
(76,7) (8,70) problem_set5_map30.map
(72,6) (48,56) problem_set5_map30.map
(71,75) (6,0) problem_set5_map30.map
(75,6) (23,1) problem_set5_map30.map
(73,23) (60,76) problem_set5_map30.map
(40,55) (34,49) problem_set5_map30.map
(28,34) (74,13) problem_set5_map30.map
(74,66) (65,75) problem_set5_map30.map
(8,75) (74,22) problem_set5_map30.map
(16,49) (74,22) problem_set5_map30.map
(64,59) (50,46) problem_set5_map30.map
(49,6) (8,32) problem_set5_map30.map
(73,34) (49,32) problem_set5_map30.map
(14,75) (23,22) problem_set5_map30.map
(1,62) (75,24) problem_set5_map30.map
(54,0) (72,61) problem_set5_map30.map
(60,64) (31,44) problem_set5_map30.map
(49,35) (2,29) problem_set5_map30.map
(49,64) (8,33) problem_set5_map30.map
(41,1) (42,11) problem_set5_map30.map
(1,22) (21,0) problem_set5_map30.map
(34,12) (61,39) problem_set5_map30.map
(61,55) (54,46) problem_set5_map30.map
(16,61) (0,13) problem_set5_map30.map
(8,76) (30,76) problem_set5_map30.map
(64,45) (5,48) problem_set5_map30.map
(27,38) (45,7) problem_set5_map30.map
(48,38) (7,76) problem_set5_map30.map
(62,61) (12,22) problem_set5_map30.map
(13,21) (4,32) problem_set5_map30.map
(56,28) (44,13) problem_set5_map30.map
(4,39) (27,42) problem_set5_map30.map
(18,32) (74,12) problem_set5_map30.map
(63,76) (39,38) problem_set5_map30.map
(66,42) (69,44) problem_set5_map30.map
(55,28) (0,20) problem_set5_map30.map
(70,59) (5,38) problem_set5_map30.map
(8,44) (58,76) problem_set5_map30.map
(22,44) (45,77) problem_set5_map30.map
(50,8) (47,75) problem_set5_map30.map
(45,59) (42,7) problem_set5_map30.map
(64,17) (42,1) problem_set5_map30.map
(75,29) (62,75) problem_set5_map30.map
(48,13) (59,14) problem_set5_map30.map
(48,12) (49,68) problem_set5_map30.map
(62,60) (10,45) problem_set5_map30.map
(9,60) (3,76) problem_set5_map30.map
(16,58) (5,75) problem_set5_map30.map
(6,18) (1,72) problem_set5_map30.map
(71,30) (0,59) problem_set5_map30.map
(18,56) (51,0) problem_set5_map30.map
(17,47) (0,11) problem_set5_map30.map
(10,23) (33,44) problem_set5_map30.map
(20,75) (59,38) problem_set5_map30.map
(70,38) (71,22) problem_set5_map30.map
(49,29) (29,0) problem_set5_map30.map
(24,61) (76,60) problem_set5_map30.map
(24,38) (37,59) problem_set5_map30.map
(4,28) (10,77) problem_set5_map30.map
(13,28) (27,15) problem_set5_map30.map
(6,11) (11,39) problem_set5_map30.map
(60,2) (57,70) problem_set5_map30.map
(16,32) (60,16) problem_set5_map30.map
(64,2) (13,52) problem_set5_map30.map
(20,39) (2,55) problem_set5_map30.map
(40,33) (16,66) problem_set5_map30.map
(57,17) (45,21) problem_set5_map30.map
(14,55) (54,49) problem_set5_map30.map
(0,15) (45,13) problem_set5_map30.map
(16,32) (76,55) problem_set5_map30.map
(73,55) (61,17) problem_set5_map30.map
(31,75) (17,29) problem_set5_map30.map
(9,33) (27,77) problem_set5_map30.map
(65,52) (61,7) problem_set5_map30.map
(17,7) (36,0) problem_set5_map30.map
(44,23) (66,13) problem_set5_map30.map
(70,12) (45,34) problem_set5_map30.map
(1,11) (77,68) problem_set5_map30.map
(6,13) (22,56) problem_set5_map30.map
(51,17) (43,77) problem_set5_map30.map
(22,51) (8,11) problem_set5_map30.map
(55,71) (77,37) problem_set5_map30.map
(41,55) (37,13) problem_set5_map30.map
(1,34) (74,34) problem_set5_map30.map
(76,18) (77,66) problem_set5_map30.map
(45,47) (76,6) problem_set5_map30.map
(34,50) (71,61) problem_set5_map30.map
(44,37) (38,28) problem_set5_map30.map
(22,77) (17,64) problem_set5_map30.map
(49,67) (68,76) problem_set5_map30.map
(54,13) (76,32) problem_set5_map30.map
(39,25) (6,57) problem_set5_map30.map
(6,44) (64,60) problem_set5_map30.map
(77,74) (22,7) problem_set5_map30.map
(38,51) (17,46) problem_set5_map30.map
(31,32) (7,57) problem_set5_map30.map
