../../bgmaps/AR0509SR.map
(27,26) (51,38) (25,44)
(33,62) (26,52) (35,45)
(30,33) (41,51) (13,49)
(39,51) (16,72) (37,52)
(37,31) (57,35) (49,45)
(56,25) (47,29) (50,32)
(50,54) (7,60) (41,42)
(20,46) (42,49) (39,52)
(43,52) (20,64) (24,41)
(44,49) (53,24) (31,24)
(34,51) (13,71) (43,51)
(36,61) (45,30) (52,50)
(60,25) (56,25) (16,40)
(21,46) (50,46) (47,51)
(37,46) (68,27) (36,55)
(25,26) (39,37) (48,27)
(51,35) (20,64) (36,32)
(35,42) (33,25) (18,64)
(38,60) (40,45) (10,64)
(46,32) (14,60) (34,42)
(34,61) (36,35) (28,53)
(47,18) (26,29) (38,61)
(35,32) (36,54) (65,32)
(38,18) (57,31) (28,44)
(35,51) (7,59) (57,39)
(41,59) (43,16) (13,68)
(43,28) (56,30) (47,52)
(18,42) (49,42) (29,37)
(32,34) (27,52) (33,49)
(19,64) (40,15) (12,46)
(44,28) (13,49) (19,52)
(21,33) (22,68) (42,39)
(58,24) (47,16) (12,56)
(18,67) (15,50) (25,63)
(51,44) (12,45) (13,43)
(61,24) (18,49) (24,50)
(9,58) (41,13) (18,58)
(40,41) (48,27) (12,51)
(11,47) (51,43) (37,50)
(18,65) (47,31) (37,63)
(24,27) (15,65) (31,45)
(21,68) (26,54) (13,67)
(65,30) (34,34) (48,34)
(53,26) (48,37) (36,43)
(35,30) (30,59) (38,45)
(36,24) (9,56) (37,28)
(8,61) (37,22) (62,33)
(25,64) (24,45) (38,53)
(19,53) (59,36) (13,62)
(24,28) (40,60) (13,58)
(34,46) (17,71) (52,27)
(28,55) (57,26) (45,16)
(16,59) (14,49) (12,50)
(41,22) (51,41) (47,47)
(40,41) (36,61) (43,54)
(21,53) (50,36) (34,61)
(25,54) (47,45) (27,55)
(51,52) (49,24) (34,44)
(61,25) (36,28) (52,28)
(23,33) (47,24) (42,15)
(62,25) (66,28) (14,48)
(14,60) (49,23) (52,36)
(25,55) (52,42) (57,24)
(44,15) (16,48) (53,37)
(54,42) (41,41) (14,56)
(22,56) (62,28) (32,32)
(46,19) (17,49) (58,26)
(50,20) (27,23) (29,54)
(52,33) (26,42) (13,65)
(27,38) (25,63) (42,37)
(48,31) (42,37) (34,18)
(27,23) (19,66) (19,42)
(18,57) (51,41) (55,29)
(26,53) (45,28) (49,42)
(43,16) (63,33) (17,61)
(16,60) (12,58) (49,21)
(43,39) (49,32) (27,59)
(52,45) (41,48) (56,40)
(28,29) (40,50) (53,42)
(49,25) (13,45) (23,41)
(52,42) (42,46) (59,31)
(38,61) (50,46) (48,33)
(48,24) (49,20) (40,36)
(33,16) (41,56) (37,27)
(13,50) (53,35) (31,53)
(52,44) (59,24) (35,45)
(47,37) (39,35) (33,51)
(20,68) (50,45) (42,54)
(44,18) (13,58) (11,67)
(46,51) (49,49) (17,64)
(21,33) (50,37) (7,61)
(8,66) (33,43) (23,65)
(22,44) (44,37) (21,55)
(17,57) (28,30) (60,25)
(27,58) (39,54) (54,33)
(44,23) (38,58) (49,44)
(44,36) (45,26) (56,30)
(26,52) (16,53) (29,46)
(59,28) (44,21) (52,27)
(39,26) (32,62) (45,23)
(25,65) (24,57) (26,27)
(40,59) (38,49) (37,54)
(41,13) (41,53) (26,42)
(34,27) (56,29) (38,38)
(26,25) (41,43) (49,26)
(18,60) (35,44) (19,53)
(60,32) (41,59) (40,25)
(41,56) (49,33) (24,43)
(41,14) (26,56) (37,47)
(47,22) (11,48) (33,25)
(51,27) (17,51) (48,48)
(28,56) (38,30) (49,36)
(42,58) (34,26) (49,42)
(41,39) (15,57) (36,62)
(52,44) (21,68) (54,41)
(35,59) (44,21) (50,38)
(36,64) (48,54) (50,52)
(24,26) (8,67) (55,38)
(14,42) (59,25) (31,25)
(11,67) (14,70) (27,59)
(45,33) (37,31) (47,36)
(10,57) (13,59) (47,31)
(24,40) (49,18) (39,26)
(19,51) (28,35) (16,42)
(36,38) (14,62) (46,35)
(38,39) (38,62) (19,70)
(16,58) (49,47) (8,61)
(40,17) (22,53) (49,19)
(16,51) (32,60) (18,50)
(47,20) (36,30) (45,16)
(61,31) (53,49) (43,36)
(59,32) (39,41) (42,35)
(20,68) (55,37) (22,54)
(36,34) (49,42) (40,50)
(41,43) (15,66) (28,51)
(20,50) (36,64) (65,31)
(47,49) (41,40) (49,20)
(48,54) (36,64) (47,31)
(17,58) (52,29) (50,42)
(7,59) (43,15) (43,16)
(34,61) (19,49) (12,55)
(57,25) (31,47) (35,61)
(28,38) (8,48) (14,60)
(49,44) (27,23) (49,51)
(11,69) (27,40) (63,33)
(66,30) (25,63) (55,38)
(47,30) (27,54) (28,32)
(16,61) (39,50) (48,34)
(48,33) (38,46) (28,41)
(41,14) (55,29) (34,44)
(35,63) (37,64) (49,34)
(52,36) (46,48) (42,41)
(54,27) (44,50) (22,42)
(25,55) (33,52) (42,57)
(28,60) (20,53) (44,29)
(7,59) (17,40) (41,27)
(37,26) (17,47) (53,40)
(41,47) (45,28) (47,16)
(27,30) (58,36) (20,33)
(40,53) (29,22) (50,53)
(64,27) (25,55) (40,21)
(42,57) (36,50) (23,46)
(18,68) (19,43) (55,30)
(9,47) (19,48) (9,49)
(42,16) (20,66) (46,26)
