(51,22) (1,63) problem_set4_map30.map
(34,25) (1,45) problem_set4_map30.map
(33,67) (32,25) problem_set4_map30.map
(3,18) (39,7) problem_set4_map30.map
(61,61) (38,14) problem_set4_map30.map
(20,76) (61,61) problem_set4_map30.map
(66,38) (59,21) problem_set4_map30.map
(1,35) (17,43) problem_set4_map30.map
(75,24) (54,66) problem_set4_map30.map
(73,38) (12,23) problem_set4_map30.map
(4,59) (7,61) problem_set4_map30.map
(75,2) (53,22) problem_set4_map30.map
(2,16) (2,60) problem_set4_map30.map
(74,2) (66,34) problem_set4_map30.map
(45,29) (27,39) problem_set4_map30.map
(43,61) (14,54) problem_set4_map30.map
(22,23) (34,7) problem_set4_map30.map
(44,18) (68,12) problem_set4_map30.map
(49,33) (10,39) problem_set4_map30.map
(14,22) (17,17) problem_set4_map30.map
(75,54) (20,18) problem_set4_map30.map
(74,0) (71,14) problem_set4_map30.map
(65,41) (23,38) problem_set4_map30.map
(10,59) (59,66) problem_set4_map30.map
(19,27) (55,17) problem_set4_map30.map
(28,12) (28,5) problem_set4_map30.map
(71,0) (55,16) problem_set4_map30.map
(1,29) (76,16) problem_set4_map30.map
(77,76) (32,33) problem_set4_map30.map
(38,54) (35,28) problem_set4_map30.map
(38,75) (54,36) problem_set4_map30.map
(54,2) (35,18) problem_set4_map30.map
(69,45) (38,23) problem_set4_map30.map
(71,32) (49,1) problem_set4_map30.map
(46,64) (49,55) problem_set4_map30.map
(65,18) (55,39) problem_set4_map30.map
(27,76) (75,21) problem_set4_map30.map
(53,55) (64,38) problem_set4_map30.map
(61,60) (29,34) problem_set4_map30.map
(62,27) (37,7) problem_set4_map30.map
(67,54) (65,39) problem_set4_map30.map
(55,14) (55,55) problem_set4_map30.map
(10,59) (22,45) problem_set4_map30.map
(19,75) (67,55) problem_set4_map30.map
(67,0) (43,49) problem_set4_map30.map
(66,5) (21,76) problem_set4_map30.map
(12,7) (17,11) problem_set4_map30.map
(48,16) (61,54) problem_set4_map30.map
