../../bgmaps/AR0021SR.map
(40,27) (16,44)
(36,18) (25,51)
(37,21) (34,18)
(25,51) (31,26)
(4,44) (12,45)
(17,54) (18,55)
(25,48) (29,53)
(19,53) (10,41)
(35,42) (8,43)
(33,27) (9,43)
(32,17) (31,25)
(45,29) (26,48)
(30,46) (32,16)
(16,39) (53,25)
(10,46) (23,26)
(18,35) (52,28)
(42,29) (48,23)
(11,44) (20,32)
(36,37) (35,19)
(45,19) (46,31)
(16,43) (37,13)
(45,28) (29,45)
(43,19) (34,28)
(23,50) (9,36)
(32,17) (39,21)
(16,41) (12,38)
(38,25) (8,45)
(43,40) (8,43)
(30,49) (19,53)
(13,54) (43,37)
(34,41) (26,54)
(11,40) (50,33)
(22,51) (39,40)
(53,29) (33,25)
(16,54) (21,38)
(31,41) (14,51)
(17,31) (32,49)
(37,25) (36,37)
(34,20) (36,21)
(34,23) (39,23)
(42,21) (25,54)
(38,24) (31,15)
(32,42) (8,49)
(37,26) (39,42)
(22,57) (29,50)
(40,25) (34,49)
(33,36) (13,38)
(39,38) (27,28)
(32,22) (18,56)
(12,46) (11,48)
(39,27) (26,29)
(34,41) (51,29)
(39,30) (17,41)
(23,53) (19,44)
(12,48) (11,45)
(18,35) (30,51)
(31,46) (9,50)
(42,24) (53,30)
(51,31) (35,22)
(21,59) (11,41)
(15,34) (15,46)
(26,56) (39,21)
(16,53) (40,36)
(40,29) (39,28)
(18,33) (19,37)
(42,16) (36,46)
(8,36) (41,40)
(38,24) (19,55)
(8,36) (7,43)
(29,26) (41,32)
(31,22) (55,28)
(33,27) (12,50)
(52,27) (41,16)
(26,31) (29,46)
(8,42) (25,50)
(25,53) (30,49)
(15,36) (47,31)
(20,60) (10,39)
(34,34) (32,24)
(33,33) (16,54)
(18,31) (9,42)
(15,34) (38,45)
(42,22) (19,29)
(13,40) (38,21)
(23,40) (34,49)
(14,51) (45,37)
(34,33) (33,28)
(16,39) (39,29)
(17,34) (49,28)
(32,27) (37,22)
(48,28) (43,35)
(33,26) (32,51)
(40,15) (31,17)
(31,24) (45,37)
(6,35) (30,29)
(29,29) (25,54)
(24,55) (31,28)
(38,39) (34,36)
(51,28) (41,40)
(11,41) (34,15)
(21,57) (8,36)
(13,39) (31,32)
(42,39) (34,37)
(32,11) (33,19)
(37,21) (41,30)
(32,23) (20,31)
(47,30) (35,34)
(37,20) (45,34)
(15,35) (11,46)
(32,46) (7,39)
(10,44) (10,40)
(36,42) (44,20)
(11,45) (21,54)
(34,44) (33,44)
(7,36) (20,29)
(32,50) (36,29)
(29,51) (9,46)
(34,48) (46,28)
(15,40) (37,43)
(8,37) (35,25)
(35,18) (33,45)
(31,15) (38,35)
(25,52) (20,53)
(31,43) (39,29)
(23,29) (43,20)
(53,28) (5,37)
(12,38) (48,26)
(6,42) (22,51)
(46,27) (36,41)
(53,29) (21,53)
(37,45) (36,36)
(30,25) (33,47)
(22,40) (52,30)
(40,24) (40,33)
(11,48) (41,33)
(16,53) (36,23)
(27,29) (17,58)
(54,27) (45,20)
(32,11) (23,59)
(33,37) (43,39)
(46,33) (15,37)
(45,28) (10,40)
(6,44) (40,24)
(51,28) (7,44)
(25,30) (45,28)
(33,40) (38,43)
(5,44) (38,29)
(11,44) (25,50)
(13,45) (47,28)
(34,38) (21,55)
(7,37) (27,29)
(30,34) (22,55)
(31,33) (52,26)
(27,54) (46,34)
(7,39) (33,49)
(9,42) (49,23)
(43,28) (7,47)
(17,55) (34,17)
(9,48) (6,36)
(32,51) (24,57)
(13,45) (29,26)
(51,26) (32,18)
(37,29) (10,47)
(10,47) (7,47)
(5,46) (16,33)
(41,39) (46,29)
(27,48) (24,49)
(42,19) (45,27)
(19,42) (53,28)
(40,40) (30,45)
(34,35) (44,32)
(31,28) (15,42)
(32,27) (26,24)
(9,42) (11,41)
(46,32) (28,50)
(39,24) (32,27)
(41,20) (43,34)
(6,40) (18,31)
(28,28) (13,37)
(30,32) (6,34)
(17,45) (48,21)
(34,29) (15,35)
(22,58) (38,41)
(30,47) (53,30)
(37,30) (32,17)
(30,52) (34,23)
(16,44) (12,42)
(5,36) (50,26)
(48,30) (44,37)
(14,55) (43,29)
(9,43) (7,48)
(25,49) (24,28)
(39,33) (51,25)
(39,22) (12,37)
(23,49) (44,36)
(15,41) (31,44)
(35,34) (7,46)
(39,26) (49,22)
(32,28) (7,36)
(40,21) (34,43)
(7,34) (49,23)
(46,30) (39,36)
(32,24) (13,45)
(33,21) (49,21)
(23,54) (25,53)
(28,26) (30,47)
(43,22) (40,21)
(49,32) (30,22)
(38,35) (52,30)
(32,25) (32,13)
(21,55) (21,29)
(28,52) (44,33)
(19,43) (17,37)
(16,47) (50,28)
(31,21) (13,52)
(33,36) (24,49)
(31,50) (21,30)
(15,41) (15,40)
(17,40) (32,46)
(35,35) (24,48)
(30,44) (52,26)
(45,26) (22,40)
(18,41) (34,19)
(31,31) (25,27)
(34,20) (36,39)
(44,33) (45,34)
(37,29) (47,32)
(16,33) (52,28)
(34,33) (37,26)
(21,53) (10,38)
(38,21) (50,26)
(20,56) (49,21)
(51,27) (30,52)
(21,55) (36,26)
(38,30) (50,33)
(41,32) (39,35)
(35,18) (40,42)
(13,51) (44,39)
(34,24) (43,21)
(32,46) (41,40)
(36,43) (40,34)
(29,27) (7,36)
(16,37) (35,39)
(20,56) (55,27)
(31,46) (17,32)
(7,33) (47,32)
(47,29) (33,33)
(36,47) (46,27)
(16,56) (47,27)
(20,31) (34,36)
(39,26) (18,39)
(45,30) (36,35)
(38,29) (30,26)
(22,52) (15,41)
(50,33) (21,29)
(43,39) (45,32)
(25,51) (24,27)
(35,23) (32,36)
(48,32) (48,27)
(40,30) (35,23)
(16,56) (34,28)
(33,18) (45,29)
(44,20) (15,56)
(27,45) (32,48)
(23,40) (14,37)
(29,30) (20,55)
(29,47) (13,44)
(34,15) (40,23)
(27,48) (19,30)
(39,36) (34,44)
(44,39) (37,39)
(36,32) (30,46)
(11,52) (36,47)
(24,51) (12,47)
(43,38) (34,40)
(9,35) (30,29)
(12,53) (36,38)
(16,46) (53,27)
(26,31) (45,28)
(32,13) (6,42)
(39,40) (30,29)
(16,45) (28,27)
(24,54) (27,31)
(18,37) (43,38)
(36,42) (36,40)
(34,15) (46,31)
(30,23) (46,31)
(36,45) (6,34)
(14,51) (29,26)
(38,29) (32,41)
(23,49) (22,37)
(21,57) (27,27)
(50,27) (16,53)
(31,44) (50,33)
(52,29) (17,31)
(9,37) (31,13)
(36,19) (33,32)
(42,31) (7,36)
(35,17) (9,44)
(18,45) (38,25)
(26,51) (12,37)
(20,59) (32,12)
(52,25) (15,54)
(19,59) (23,57)
(35,33) (44,39)
(31,36) (36,46)
(32,11) (35,38)
(32,13) (44,30)
(55,27) (17,31)
(10,46) (26,24)
(47,35) (35,29)
(39,34) (45,19)
(13,38) (43,36)
(4,37) (32,27)
(42,41) (39,30)
(46,29) (40,15)
(34,17) (46,30)
(44,37) (52,29)
(35,18) (16,35)
(24,28) (42,22)
(12,47) (40,32)
(8,43) (38,26)
(39,26) (18,38)
(41,15) (50,30)
(36,34) (15,40)
(20,53) (31,21)
(33,21) (40,35)
(8,34) (33,33)
(39,24) (8,44)
